imdb_title_id	weighted_average_vote	total_votes
tt0017860	5.6	710
tt0017886	6.4	193
tt0017918	6.9	284
tt0017925	8.1	78769
tt0017928	6.7	162
tt0017938	7	759
tt0017961	7.4	919
tt0017998	7.1	237
tt0018014	6.6	210
tt0018016	6.4	185
tt0018033	7.3	2912
tt0018037	6.5	8866
tt0018045	6.8	263
tt0018051	7.6	3747
tt0018054	7.2	1890
tt0018066	7.3	1494
tt0018087	7.3	660
tt0018097	6.8	1161
tt0018102	6.3	431
tt0018107	6.9	885
tt0018113	6.1	764
tt0018138	5.9	356
tt0018166	6.7	390
tt0018179	6.4	525
tt0018183	7.4	787
tt0018192	8.1	6864
tt0018217	7.5	6877
tt0018218	6.4	316
tt0018235	6.8	119
tt0018247	6.3	110
tt0018253	5.8	468
tt0018268	6.3	103
tt0018297	6.4	733
tt0018311	6.6	1342
tt0018328	6.2	3088
tt0018351	7	188
tt0018362	6.2	327
tt0018379	7.6	3098
tt0018389	5.6	141
tt0018392	7.1	352
tt0018397	6.9	498
tt0018413	4	481
tt0018440	6	884
tt0018451	7.6	1335
tt0018453	6.3	103
tt0018455	8.1	46069
tt0018464	5.5	126
tt0018471	6.9	1422
tt0018484	6.1	105
tt0018487	5.8	465
tt0018505	7.4	1034
tt0018513	5.2	551
tt0018515	6.7	888
tt0018523	6.8	761
tt0018524	6.7	379
tt0018526	7.6	2545
tt0018528	7.8	6992
tt0018530	6.2	248
tt0018566	6.8	308
tt0018578	7.5	11139
tt0018579	3.1	105
tt0018588	6.7	200
tt0018600	6.3	106
tt0018615	7	291
tt0018618	6	948
tt0018678	6.5	395
tt0018684	7.5	945
tt0018722	4.9	134
tt0018737	7.9	9541
tt0018742	8.1	10101
tt0018749	6.2	810
tt0018756	5.6	1968
tt0018770	7.3	3369
tt0018773	8.1	27414
tt0018795	6.5	614
tt0018826	6.8	149
tt0018836	6.7	336
tt0018839	7.5	3860
tt0018841	7.3	561
tt0018862	6.9	121
tt0018876	5.9	2434
tt0018879	5.9	151
tt0018882	7	152
tt0018907	6.3	134
tt0018908	6.9	261
tt0018909	7.1	623
tt0018910	3.9	307
tt0018927	6.8	341
tt0018935	6.7	234
tt0018937	6.6	630
tt0018972	6.6	394
tt0018990	6.9	154
tt0018996	6	116
tt0019043	7.1	305
tt0019067	6.9	402
tt0019071	8	3282
tt0019074	7.6	1684
tt0019096	5.7	735
tt0019098	6.1	636
tt0019109	7.8	1982
tt0019127	6.8	174
tt0019130	7.7	5711
tt0019151	6.8	510
tt0019152	6.8	343
tt0019182	5.3	116
tt0019186	6.5	176
tt0019195	7.2	1151
tt0019237	6.7	1501
tt0019254	8.1	45823
tt0019258	7.5	2330
tt0019286	7.1	1803
tt0019290	6.4	228
tt0019304	6.7	1099
tt0019312	6.8	102
tt0019325	6	168
tt0019335	3.5	123
tt0019344	7.2	2519
tt0019374	7	229
tt0019379	7.6	3458
tt0019388	6.2	206
tt0019400	6.2	976
tt0019412	7.7	3178
tt0019415	7.6	3062
tt0019421	7.9	12809
tt0019429	7.4	2090
tt0019434	6.1	239
tt0019451	6.8	347
tt0019462	6	227
tt0019480	6.5	213
tt0019489	6.9	353
tt0019509	7.3	413
tt0019532	6.6	346
tt0019553	6.5	131
tt0019557	6.1	376
tt0019558	7.5	1508
tt0019563	7.2	1582
tt0019571	6.3	151
tt0019574	6.9	756
tt0019585	8	5980
tt0019591	7.2	1355
tt0019609	6.9	116
tt0019611	7.1	819
tt0019629	7	188
tt0019630	5.8	661
tt0019644	7	1266
tt0019646	7.6	854
tt0019649	7.3	1805
tt0019655	7.4	1328
tt0019658	5.5	187
tt0019684	4.9	386
tt0019690	5.4	203
tt0019699	5.6	258
tt0019702	7	9412
tt0019725	6.2	339
tt0019726	6.4	119
tt0019729	5.7	6327
tt0019735	6.4	839
tt0019745	6	539
tt0019746	6.7	169
tt0019777	7	6900
tt0019785	6.4	332
tt0019788	5.8	1983
tt0019796	6.4	390
tt0019798	6.5	261
tt0019800	5.9	110
tt0019811	6.5	1074
tt0019815	6.1	104
tt0019823	6.2	1034
tt0019824	6.2	651
tt0019839	3.1	116
tt0019843	7	382
tt0019850	7.2	481
tt0019852	6.8	445
tt0019856	6.6	132
tt0019884	5.9	255
tt0019886	6.6	232
tt0019889	6	106
tt0019901	7.3	2899
tt0019909	6.9	132
tt0019929	5.2	115
tt0019933	5.8	621
tt0019935	7.2	687
tt0019936	6.7	143
tt0019939	6.4	103
tt0019945	5.2	117
tt0019946	6.1	694
tt0019949	6.6	285
tt0019957	5.8	112
tt0019959	6.8	1521
tt0019976	7.2	520
tt0019979	5.1	117
tt0019983	5.3	289
tt0019992	5.8	134
tt0019993	5.9	1827
tt0020004	6.6	310
tt0020011	6.1	110
tt0020014	5.9	118
tt0020018	5.5	898
tt0020025	7	178
tt0020030	7	1139
tt0020034	6.1	269
tt0020062	6.9	938
tt0020075	7.3	214
tt0020078	6.7	317
tt0020080	6.7	441
tt0020081	6.1	381
tt0020092	6.7	619
tt0020099	6.8	100
tt0020103	6	429
tt0020112	7.1	1924
tt0020114	6.5	169
tt0020122	7.8	1144
tt0020126	6	431
tt0020142	6.2	2555
tt0020143	6.2	1148
tt0020144	5.6	385
tt0020163	7.4	2649
tt0020166	5.7	151
tt0020182	7	111
tt0020193	7.3	246
tt0020197	6.7	187
tt0020198	6.1	562
tt0020210	5.2	528
tt0020217	5.7	169
tt0020223	6.5	656
tt0020228	6.8	143
tt0020230	7.3	726
tt0020232	7.3	332
tt0020238	5.8	259
tt0020247	6	603
tt0020253	6.9	315
tt0020269	7.1	1353
tt0020286	6.5	710
tt0020293	6.7	181
tt0020298	7.1	3049
tt0020305	5.5	353
tt0020320	6.8	157
tt0020332	6.1	691
tt0020335	7.2	524
tt0020336	6	204
tt0020344	6.9	102
tt0020358	6.1	304
tt0020359	5.5	156
tt0020364	6	191
tt0020388	6.1	267
tt0020392	6.3	116
tt0020402	6.1	245
tt0020403	5.8	367
tt0020405	6.9	183
tt0020410	6.7	489
tt0020425	5.5	200
tt0020431	5	138
tt0020439	6.1	602
tt0020442	7	1811
tt0020446	4.9	328
tt0020451	7.3	1296
tt0020458	6.1	337
tt0020461	5.7	115
tt0020466	6.5	358
tt0020475	7.9	3996
tt0020479	6.3	511
tt0020480	5.6	135
tt0020488	5.9	559
tt0020490	5.8	143
tt0020492	5.9	522
tt0020499	6.6	501
tt0020502	6.4	170
tt0020510	6.6	261
tt0020514	6.6	1232
tt0020516	6.1	105
tt0020534	5.8	197
tt0020538	5.1	475
tt0020542	5.3	198
tt0020543	6	315
tt0020547	6.9	112
tt0020556	6.8	661
tt0020563	6.4	474
tt0020570	7.2	882
tt0020572	6	669
tt0020581	6.6	487
tt0020585	7.2	359
tt0020589	6.6	578
tt0020590	6.4	408
tt0020608	7.2	216
tt0020613	6.3	263
tt0020620	5.7	1308
tt0020629	8	56356
tt0020640	7.5	13341
tt0020641	6.6	2760
tt0020642	6.9	775
tt0020656	7.2	382
tt0020661	5.1	106
tt0020668	6.4	828
tt0020670	5.8	161
tt0020673	5.4	175
tt0020679	6.2	280
tt0020686	7.1	1849
tt0020690	5.9	209
tt0020691	7.2	3312
tt0020693	6	347
tt0020695	6.1	600
tt0020697	7.7	13311
tt0020701	6.2	410
tt0020702	5.4	322
tt0020713	5.6	242
tt0020724	5.6	117
tt0020740	4.7	122
tt0020754	6.2	112
tt0020758	5.7	339
tt0020763	5.7	117
tt0020768	7.8	2842
tt0020785	5.4	104
tt0020793	7.6	989
tt0020799	6.1	210
tt0020806	6.2	465
tt0020814	7	189
tt0020815	7.2	1602
tt0020821	6.5	523
tt0020823	6	146
tt0020827	6.8	2705
tt0020828	5.3	325
tt0020836	6.5	947
tt0020838	5.8	392
tt0020842	6.6	734
tt0020852	5.3	341
tt0020866	5.9	101
tt0020869	5.2	151
tt0020873	6.2	131
tt0020875	6.9	439
tt0020876	6.7	947
tt0020890	6.5	159
tt0020891	6.1	1249
tt0020894	6.5	200
tt0020896	6.5	327
tt0020900	6.1	191
tt0020902	5.6	814
tt0020919	5.3	805
tt0020924	6	157
tt0020926	4.4	122
tt0020929	5.5	323
tt0020938	5.4	347
tt0020945	6.1	303
tt0020949	5.5	121
tt0020959	5.5	146
tt0020960	7.4	4748
tt0020966	6.5	229
tt0020980	6.4	480
tt0020985	6.4	352
tt0020987	6.1	299
tt0021001	5.4	113
tt0021013	6.7	229
tt0021016	5.4	630
tt0021025	6.7	1039
tt0021040	6.7	1038
tt0021042	6	151
tt0021044	6.6	145
tt0021048	5.3	129
tt0021053	6.5	279
tt0021060	6.4	416
tt0021061	5.5	114
tt0021069	5.6	128
tt0021070	4.6	132
tt0021074	6.8	399
tt0021079	7.3	11746
tt0021087	6.1	371
tt0021090	5.3	124
tt0021092	5.6	227
tt0021094	5.3	142
tt0021100	5.5	162
tt0021102	6.2	112
tt0021106	6.5	838
tt0021110	5.7	164
tt0021121	6.2	191
tt0021128	6.1	654
tt0021132	5.7	153
tt0021133	5.1	233
tt0021134	5	196
tt0021140	5.8	218
tt0021148	6.8	1547
tt0021149	5.7	398
tt0021152	4.7	422
tt0021153	6.8	1109
tt0021156	7.1	5443
tt0021165	6.4	5651
tt0021178	6.1	138
tt0021189	6.1	990
tt0021191	5.3	241
tt0021197	6.2	386
tt0021216	5.8	117
tt0021217	5.8	378
tt0021223	6.1	588
tt0021224	6	138
tt0021225	6.7	454
tt0021228	6.2	606
tt0021232	5.9	249
tt0021239	5.3	195
tt0021240	6.1	239
tt0021247	7.2	157
tt0021263	6.1	180
tt0021268	7.1	188
